tocr_id,tocr_name,articles,current,suggested,from_cdosgame,from_famitsu,sources,source_ids,unknown,risk,shared_with
cmtpl2b5207bc04jvd6eg1goj,中國武將列傳,2,DOS,DOS,DOS,,cdg-0301,cdg-0301,,,
cmtpn82xh01lp04l6f9kfbnrw,中國貳,2,,WIN,WIN,,cdg-4526,cdg-4526,,靠別名對上、來源同時給了別筆(1),中國2
cmss8fs6b005w04jsyczf5u67,中華一番客棧,2,WIN,WIN,WIN,,cdg-0319,cdg-0319,,,
cmtpk43ik00r504jv1xtlztzb,中華職棒,9,DOS,DOS,DOS,,cdg-0321,cdg-0321,,,
cmtpker6r021x04jvym8a1he1,中華職棒2,4,DOS,DOS,DOS,,cdg-0322,cdg-0322,,,
cmtpkdzdu01w704jvz9ascx7z,乒乓彈珠檯,1,DOS,DOS,DOS,,cdg-0324,cdg-0324,,,
cmtpkp9tc03yp04jve8phb0du,九個太陽,2,DOS,DOS,DOS,,cdg-5357,cdg-5357,,,
cmta8mf17001v04jr0ybx4scd,亂世伏魔錄,1,DOS,DOS,DOS,,cdg-0325,cdg-0325,,,
cmtzt5sea008v0agmjwku8uhu,二元領域,2,,PS3、X360,,PS3、X360,VOL.337 VOL.346 VOL.360 VOL.363 VOL.370,索引:二元領域,,,
cmtplm0um0cf004jvriwxzki9,五子棋大師,1,DOS,DOS,DOS,,cdg-0346,cdg-0346,,,
cmt9rt6oj002804jsqxw28o0a,亞特蘭提斯之謎,5,DOS,DOS,DOS,,cdg-1292,cdg-1292,,,
cmsx2unf5000j04ldiuno26ol,亞瑟王傳奇,3,DOS,DOS,DOS,,cdg-4176,cdg-4176,,,
cmtpkr6b004m104jvugvozygy,亞紀子,1,DOS,DOS,DOS,,cdg-1284,cdg-1284,,,
cmtpkwmg705uw04jv2nu9oy7n,亞里斯王物語,2,DOS,DOS,DOS,,cdg-1277,cdg-1277,,,
cmtzt4la4001w0agm9f1a5v5o,亡靈殺手 煉獄的亡靈,1,,X360,,X360,VOL.284,索引:亡靈殺手煉獄的亡靈,,,
cmtpn7ctp01f704l6rb6mac4t,交通英雄,5,WIN,WIN,WIN,,cdg-1281,cdg-1281,,,
cmtxe41ym001b0agmzsdunckj,交錯刀鋒,1,,PS3,,PS3,VOL.193,索引:交錯刀鋒,,,
cmtpnud5u05zn04l6jkk8o0xa,交響樂之雨,1,WIN,WIN,WIN,,cdg-1282,cdg-1282,,,
cmtzt55ut00cj0agmgxdu5g82,人中之龍 OF THE END,4,,PS3,,PS3,VOL.316 VOL.321 VOL.326 VOL.327 VOL.329 VOL.331 VOL.333 VOL.337 VOL.339 VOL.340 VOL.343,索引:人中之龍oftheend,,,
cmtxe42ho001b04jl0nbidknq,人中之龍 見參！,2,,PS3,,PS3,VOL.184 VOL.185,索引:人中之龍見參,,,
cmtzt4jov00100agmk651gqpk,人中之龍4 傳說繼承者,1,,PS3,,PS3,VOL.284,索引:人中之龍4傳說繼承者,,,
cmtzt641y00f50agmyt9euivy,人中之龍5 夢與實踐者,4,,PS3,,PS3,VOL.400 VOL.412 VOL.414 VOL.416,索引:人中之龍5夢與實踐者,,,
cmtplv10r0ec404jvkav25s9s,人氣一番拉麵屋,1,WIN,WIN,WIN,,cdg-1556,cdg-1556,,,
cmsybok5x006304l2ckzrkfhp,人生劇場,3,DOS,DOS,DOS,,cdg-3889,cdg-3889,,,
cmtplab0n09fk04jvtoxcoii4,人間道之少年燕赤霞,1,DOS,DOS,DOS,,cdg-1558,cdg-1558,,,
