bucket,cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,years,tocr_platforms,status,decision
B 一中一西,cdg-2775,瘋狂主宰,1991,DOS,1,cmtpjz2nq002q04jvh5w7ojh3,Mega Lo Mania,2,1993–1993,,要判,
B 一中一西,cdg-2902,銀河英雄,1989,DOS,1,cmsvpx5ap001904ldd264g5gn,銀河英雄,5,1989–1990,,要判,
B 一中一西,cdg-2902,銀河英雄,1989,DOS,1,cmsvpx5aw001b04ldxozr3uj8,Space Rogue,1,1989–1989,,要判,
B 一中一西,cdg-2911,銀河飛將,1990,DOS,1,cmsybi8df000v04l24yjk6o3e,銀河飛將,19,1990–1994,,要判,
B 一中一西,cdg-2911,銀河飛將,1990,DOS,1,cmsybekru001504jv2ltup9um,Wing Commander,4,1990–1993,,要判,
B 一中一西,cdg-2969,創世紀7：黑月之門,1992,DOS,6,cmt9rt67i000104jszp8mwoue,創世紀7：黑月之門,2,1992–1992,,要判,
B 一中一西,cdg-2969,創世紀7：黑月之門,1992,DOS,6,cmt9n4wfe004e04jm0ub74vge,創世紀VII——黑月之門,1,1992–1992,,要判,
B 一中一西,cdg-2969,創世紀7：黑月之門,1992,DOS,6,cmt9n4wfm004f04jmh4wdi9le,Ultima VII-The Black Gate,1,1992–1992,,要判,
B 一中一西,cdg-3044,挑戰極速,1991,DOS,1,cmta8xkyt002v04l62ep5rko9,挑戰極速,1,1991–1991,,要判,
B 一中一西,cdg-3044,挑戰極速,1991,DOS,1,cmsyqnpif001q04i5n9yy6hq7,Mario Andretti's Racing Challenge,1,1991–1991,,要判,
B 一中一西,cdg-3048,捍衛雄鷹3.0,1991,DOS,2,cmt1mvabr005n04ju49e3afcr,捍衛雄鷹3.0,8,1992–1993,,要判,
B 一中一西,cdg-3048,捍衛雄鷹3.0,1991,DOS,2,cmsysz3aa006v04jojdyrfltb,FALCON 3.0,5,1991–1992,,要判,
B 一中一西,cdg-3175,模擬城市,1989,DOS,1,cmsvpx56x000504ldpysay0t8,模擬城市,7,1989–2000,,要判,
B 一中一西,cdg-3175,模擬城市,1989,DOS,1,cmsvud7tt000l04l6zyg2uajr,SIM CITY,1,1989–1989,,要判,
B 一中一西,cdg-3175,模擬城市,1989,DOS,1,cmsxqcbxk007x04l414fm7ej8,SimCity,1,1990–1990,,要判,
B 一中一西,cdg-3605,鐵路大亨,1990,DOS,8,cmsyew02g001304l1wqd550i6,鐵路大亨,11,1991–1998,,要判,
B 一中一西,cdg-3605,鐵路大亨,1990,DOS,8,cmsybekr5001104jvpfnvhtd7,Railroad Tycoon,1,1990–1990,,要判,
B 一中一西,cdg-3610,鑽石方塊,1989,DOS,3,cmsybv6wo00ek04l2557ymfne,鑽石方塊,2,1991–1991,,要判,
B 一中一西,cdg-3610,鑽石方塊,1989,DOS,3,cmsxqcbny005704l4yhm0zr28,Puzznic,1,1990–1990,,要判,
B 一中一西,cdg-3650,鬼屋魔影,1992,DOS,2,cmta82gdx005q04kztasgjyu3,鬼屋魔影,5,1992–1995,,要判,
B 一中一西,cdg-3650,鬼屋魔影,1992,DOS,2,cmta82ge4005r04kzj5x19p1v,Alone in the Dark,1,1993–1993,,要判,
B 一中一西,cdg-3663,魔喚精靈,1998,Windows,1,cmtplfzwj0az204jvegdr19m8,魔喚精靈,1,1998–1998,,要判,
B 一中一西,cdg-3663,魔喚精靈,1998,Windows,1,cmtpl8p8e094x04jvgtowww9a,VANTAGE MASTER,5,1997–1998,,要判,
B 一中一西,cdg-3722,魔法軍團,1998,DOS、Win9x,1,cmtpl55af086a04jvg00wno35,魔法軍團,4,1997–1998,,要判,
B 一中一西,cdg-3722,魔法軍團,1998,DOS、Win9x,1,cmtpl55aa086904jvpvh07hmo,Warlocks,1,1997–1997,,要判,
B 一中一西,cdg-3757,魔界召喚,1992,DOS,3,cmtpk4j7o00w704jv159rukah,魔界召喚,1,1993–1993,,要判,
B 一中一西,cdg-3757,魔界召喚,1992,DOS,3,cmta82gcf005804kzldj63j41,The Summoning,2,1993–1993,,要判,
B 一中一西,cdg-3768,魔石堡,1995,DOS,5,cmtpks04504qu04jvqoinoqwd,魔石堡,4,1996–1996,,要判,
B 一中一西,cdg-3768,魔石堡,1995,DOS,5,cmtpkr5xt04i304jvkzbztzj9,StoneKeep,1,1995–1995,,要判,
B 一中一西,cdg-3773,魔胎,1992,DOS,4,cmta1agav005g04jw4l9n8rba,魔胎,4,1992–1993,,要判,
B 一中一西,cdg-3773,魔胎,1992,DOS,4,cmta16ktk000n04jwuy4gapjp,The Dark Half,1,1993–1993,,要判,
B 一中一西,cdg-3857,蓋世龍王,1990,DOS,4,cmsylqo2u000d04ji9sfesc82,蓋世龍王,4,1991–1991,,要判,
B 一中一西,cdg-3857,蓋世龍王,1990,DOS,4,cmsylqo31000e04ji5nzycmws,Dragon Lord,1,1991–1991,,要判,
B 一中一西,cdg-3860,核戰狂人夢,1989,DOS,2,cmsx2w9cr005y04ldhwnw8tjh,核戰狂人夢,3,1990–1990,,要判,
B 一中一西,cdg-3860,核戰狂人夢,1989,DOS,2,cmsx2w9cy005z04ldu74ltrkk,Nuclear War,1,1990–1990,,要判,
B 一中一西,cdg-3863,猴島小英雄,1990,DOS,3,cmsybi88j000704l2l50i6f2q,猴島小英雄,11,1990–1991,,要判,
B 一中一西,cdg-3863,猴島小英雄,1990,DOS,3,cmsybekqa000x04jv30y4dwh5,The Secret of Monkey Island,2,1990–1990,,要判,
B 一中一西,cdg-3872,蠟像館之謎,1992,DOS,1,cmtpjz2l0002104jvayspypwq,蠟像館之謎,3,1993–1993,,要判,
