cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,tocr_platforms,status
cdg-4978,電子特派員,1984,Apple II,1,,,,,站上沒有
cdg-4980,綠林傳奇,1984,Apple II,1,,,,,站上沒有
cdg-4982,諜對諜,1984,Apple II,1,,,,,站上沒有
cdg-4985,銀河飛鷹,1984,Apple II,2,cmta91umr005z04l6uvwxmmdw,銀河飛鷹,1,APPLE2,
cdg-4988,轟炸大隊,1984,Apple II,8,,,,,站上沒有
cdg-4989,魔界神兵,1984,Apple II,1,,,,,站上沒有
cdg-4990,魔鬼剋星（Ghostbusters）,1984,Apple II,1,,,,,站上沒有
cdg-4991,魔域遠征軍,1984,Apple II,1,,,,,站上沒有
cdg-4997,巴格羅歷險,1984,DOS,0,,,,,站上沒有
cdg-5009,高樓救生員,1984,DOS,0,,,,,站上沒有
cdg-5011,瘋狂太空站,1984,DOS,0,,,,,站上沒有
cdg-5034,火狐狸,1984,Apple II,0,,,,,站上沒有
cdg-5036,鷹式戰鬥機,1984,DOS,6,,,,,站上沒有
cdg-5055,單字大進擊,1984,DOS,0,,,,,站上沒有
cdg-5058,陸空大追擊,1984,DOS,2,,,,,站上沒有
cdg-5067,職業棒球聯盟,1984,DOS,0,,,,,站上沒有
cdg-5069,李小龍,1984,DOS,2,,,,,站上沒有
cdg-5332,寶石戰士,1984,Apple II,0,,,,,站上沒有
cdg-5369,七座金城,1984,Apple II,0,cmtpki0j002y904jv6ks9v403,七座金城,1,APPLE2,
cdg-5404,魔宮傳奇（Shadowkeep）,1984,Apple II,2,cmsvna22a008s04l8pl6k7k5s,魔宮傳奇,2,,
cdg-0155,七寶奇謀（The Goonies）,1985,Apple II,2,cmtpkwmfb05un04jvolst6xia,七寶奇謀,1,,
cdg-0210,三國志,1985,DOS,7,cmsumhmxm002c04jovzwvrc8x,三國志,13,,
cdg-0605,幽靈戰士,1985,DOS,2,,,,,站上沒有
cdg-0731,步步驚魂,1985,DOS,1,,,,,站上沒有
cdg-1044,國王密使2：皇家羅曼史,1985,DOS,1,,,,,站上沒有
cdg-2135,象棋（1985）,1985,DOS,1,,,,,站上沒有
cdg-2966,創世紀4：天人合一,1985,Apple II、DOS,8,,,,,站上沒有
cdg-3320,燃燒的野球,1985,DOS,4,cmsvud82t003l04l6mdoyp6qg,燃燒的野球,2,DOS,
